Code,Occupation_Name,Nom_de_la_profession,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
N1512,Letter carriers,Facteurs/factrices.,Balance,À L'ÉQUILIBRE
N1513,"Couriers, messengers and door-to-door distributors",Messagers/messagères et distributeurs/distributrices porte-à-porte.,Balance,À L'ÉQUILIBRE
N1521,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires.,Balance,À L'ÉQUILIBRE
N1522,Storekeepers and partspersons; Production logistics co-ordinators & Purchasing and inventory control workers,Magasiniers/magasinières et commis aux pièces; Coordonnateurs/coordonnatrices de la logistique de la production; Commis aux achats et au contrôle de l'inventaire.,Balance,À L'ÉQUILIBRE
N1525,Dispatchers & Transportation route and crew schedulers,Répartiteurs/répartitrices; Horairistes de trajets et d'équipages.,Balance,À L'ÉQUILIBRE
N2110,Physical science professionals,Professionnels/professionnelles des sciences physiques,Balance,À L'ÉQUILIBRE
N2120,Life science professionals,Professionnels/professionnelles des sciences de la vie,Balance,À L'ÉQUILIBRE
N2131,Civil engineers,Ingénieurs civils/ingénieures civiles.,Balance,À L'ÉQUILIBRE
N2132,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes.,Balance,À L'ÉQUILIBRE
N2133,Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes.,Balance,À L'ÉQUILIBRE
N2134,Chemical engineers,Ingénieurs chimistes/ingénieures chimistes.,Surplus,SURPLUS
N2141,Industrial and manufacturing engineers & Metallurgical and materials engineers,Ingénieurs/ingénieures d'industrie et de fabrication; Ingénieurs/ingénieures métallurgistes et des matériaux.,Balance,À L'ÉQUILIBRE
N2143,Mining engineers; Geological engineers & Petroleum engineers,Ingénieurs miniers/ingénieures minières; Ingénieurs géologues/ingénieures géologues; Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole.,Surplus,SURPLUS
N2146,"Aerospace engineers & Other professional engineers, n.e.c.","Ingénieurs/ingénieures en aérospatiale; Autres ingénieurs/ingénieures, n.c.a..",Shortage,PÉNURIE
N2147,Computer engineers (except software engineers and designers),Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel).,Balance,À L'ÉQUILIBRE
N2151,Architects,Architectes.,Balance,À L'ÉQUILIBRE
N2152,Landscape architects; Urban and land use planners & Land surveyors,Architectes paysagistes; Urbanistes et planificateurs/planificatrices de l'utilisation des sols; Arpenteurs-géomètres/arpenteuses-géomètres.,Balance,À L'ÉQUILIBRE
N2161,"Mathematicians, statisticians and actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires.",Shortage,PÉNURIE
N2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique.,Shortage,PÉNURIE
N2172,Database analysts and data administrators,Analystes de bases de données et administrateurs/administratrices de données.,Shortage,PÉNURIE
N2173,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel.,Shortage,PÉNURIE
N2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs.,Shortage,PÉNURIE
N2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web.,Balance,À L'ÉQUILIBRE
N2210,Technical occupations in physical sciences,Personnel technique des sciences physiques,Balance,À L'ÉQUILIBRE
N2221,Biological technologists and technician,Technologues et techniciens/techniciennes en biologie.,Balance,À L'ÉQUILIBRE
N2222,Agricultural and fish products inspectors; Forestry technologists and technician & Conservation and fishery officers,Inspecteurs/inspectrices des produits agricoles et de la pêche; Technologues et techniciens/techniciennes en sciences forestières; Techniciens/techniciennes du milieu naturel et de la pêche.,Balance,À L'ÉQUILIBRE
N2225,Landscape and horticulture technician and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture.,Surplus,SURPLUS
N2231,Civil engineering technologists and technician,Technologues et techniciens/techniciennes en génie civil.,Balance,À L'ÉQUILIBRE
N2232,Mechanical engineering technologists and technician,Technologues et techniciens/techniciennes en génie mécanique.,Shortage,PÉNURIE
N2233,Industrial engineering and manufacturing technologists and technician,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication.,Shortage,PÉNURIE
N2234,Construction estimators,Estimateurs/estimatrices en construction.,Balance,À L'ÉQUILIBRE
N2241,Electrical and electronics engineering technologists and technician,Technologues et techniciens/techniciennes en génie électronique et électrique.,Balance,À L'ÉQUILIBRE
N2242,Electronic service technician (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux).,Balance,À L'ÉQUILIBRE
N2243,"Industrial instrument technician and mechanics & Aircraft instrument, electrical and avionics mechanics, technician and inspectors","Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels; Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs.",Balance,À L'ÉQUILIBRE
N2250,"Technical occupations in architecture, drafting, surveying, geomatics","Personnel technique en architecture, en dessin, en arpentage, en géomatique et en météorologie",Balance,À L'ÉQUILIBRE
N2261,Non-destructive testers and inspection technician; Engineering inspectors and regulatory officers & Inspectors in public and environmental health and occupational health and safety,"Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs; Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation; Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail.",Balance,À L'ÉQUILIBRE
N2264,Construction inspectors,Inspecteurs/inspectrices en construction.,Balance,À L'ÉQUILIBRE
N2270,Transportation officers and controllers,Officiers/officières et contrôleurs/contrôleuses des services de transport,Shortage,PÉNURIE
N2281,Computer network technician,Techniciens/techniciennes de réseau informatique.,Balance,À L'ÉQUILIBRE
N2282,User support technician & Information systems testing technician,Agents/agentes de soutien aux utilisateurs; Évaluateurs/évaluatrices de systèmes informatiques.,Surplus,SURPLUS
N3011,Nursing co-ordinators and supervisors,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers.,Balance,À L'ÉQUILIBRE
N3012,Registered nurses and registered psychiatric nurses,Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées.,Shortage,PÉNURIE
N3111,Specialist physicians,Médecins spécialistes.,Shortage,PÉNURIE
N3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale.,Shortage,PÉNURIE
N3113,Dentists,Dentistes.,Shortage,PÉNURIE
N3114,Veterinarians,Vétérinaires.,Balance,À L'ÉQUILIBRE
N3120,"Optometrists, chiropractors and other health diagnosing and treating professionals","Optométristes, chiropraticiens/chiropraticiennes et autres professionnels/professionnelles en diagnostic et en traitement de la santé",Shortage,PÉNURIE
N3131,Pharmacists,Pharmaciens/pharmaciennes.,Balance,À L'ÉQUILIBRE
N3132,Dietitians and nutritionists,Diététistes et nutritionnistes.,Balance,À L'ÉQUILIBRE
N3141,Audiologists and speech-language pathologists,Audiologistes et orthophonistes.,Shortage,PÉNURIE
N3142,Physiotherapists,Physiothérapeutes.,Shortage,PÉNURIE
N3143,Occupational therapists & Other professional occupations in therapy and assessment,Ergothérapeutes; Autres professionnels/professionnelles en thérapie et en diagnostic.,Shortage,PÉNURIE
N3211,Medical laboratory technologists & Medical laboratory technician and pathologists' assistants,Technologues de laboratoires médicaux; Techniciens/techniciennes de laboratoire médical et assistants/assistantes en pathologie.,Balance,À L'ÉQUILIBRE
N3213,Animal health technologists and veterinary technician,Technologues en santé animale et techniciens/techniciennes vétérinaires.,Surplus,SURPLUS
N3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists; Medical radiation technologists & Medical sonographers","Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires; Technologues en radiation médicale; Technologues en échographie.",Shortage,PÉNURIE
N3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c. & Other medical technologists and technician (except dental health)","Technologues en cardiologie et technologues en électrophysiologie diagnostique, n.c.a.; Autres technologues et techniciens/techniciennes des sciences de la santé (sauf soins dentaires).",Balance,À L'ÉQUILIBRE
N3220,Technical occupations in dental health care,Personnel technique en soins dentaires,Balance,À L'ÉQUILIBRE
N3231,Opticians,Opticiens/opticiennes d'ordonnances.,Shortage,PÉNURIE
N3232,Practitioners of natural healing; Massage therapists & Other technical occupations in therapy and assessment,Praticiens/praticiennes des médecines douces; Massothérapeutes; Autre personnel technique en thérapie et en diagnostic.,Shortage,PÉNURIE
N3233,Licensed practical nurses,Infirmiers auxiliaires/infirmières auxiliaires.,Shortage,PÉNURIE
N3234,Paramedical occupations,Personnel ambulancier et paramédical.,Balance,À L'ÉQUILIBRE
N3411,Dental assistants,Assistants/assistantes dentaires.,Surplus,SURPLUS
N3413,"Nurse aides, orderlies and patient service associates & Other assisting occupations in support of health services","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires; Autre personnel de soutien des services de santé.",Balance,À L'ÉQUILIBRE
N4011,University professors and lecturers,Professeurs/professeures et chargés/chargées de cours au niveau universitaire.,Balance,À L'ÉQUILIBRE
N4012,Post-secondary teaching and research assistants,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire.,Balance,À L'ÉQUILIBRE
N4021,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle.,Balance,À L'ÉQUILIBRE
N4031,Secondary school teachers,Enseignants/enseignantes au niveau secondaire.,Balance,À L'ÉQUILIBRE
N4032,Elementary school and kindergarten teachers,Enseignants/enseignantes aux niveaux primaire et préscolaire.,Balance,À L'ÉQUILIBRE
N4033,Educational counsellors,Conseillers/conseillères en information scolaire.,Balance,À L'ÉQUILIBRE
N4110,"Judges, lawyers and Quebec notaries","Juges, avocats/avocates (partout au Canada) et notaires (au Québec)",Balance,À L'ÉQUILIBRE
N4151,Psychologists,Psychologues.,Shortage,PÉNURIE
N4152,Social workers & Probation and parole officers and related occupations,Travailleurs sociaux/travailleuses sociales; Agents/agentes de probation et de libération conditionnelle et personnel assimilé.,Balance,À L'ÉQUILIBRE
N4153,"Family, marriage and other related counsellors","Thérapeutes conjugaux/thérapeutes conjugales, thérapeutes familiaux/thérapeutes familiales et autres conseillers assimilés/conseillères assimilées.",Balance,À L'ÉQUILIBRE
N4154,Professional occupations in religion,Personnel professionnel relié à la religion.,Balance,À L'ÉQUILIBRE
N4156,Employment counsellors,Conseillers/conseillères en emploi.,Balance,À L'ÉQUILIBRE
N4161,"Natural and applied science policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées.",Balance,À L'ÉQUILIBRE
N4162,Economists and economic policy researchers and analysts & Business development officers and marketing researchers and consultants,"Économistes, recherchistes et analystes des politiques économiques; Agents/agentes de développement économique, recherchistes et experts-conseils/expertes-conseils en marketing.",Balance,À L'ÉQUILIBRE
N4164,"Social policy researchers, consultants and program officers & Health policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales; Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé.",Balance,À L'ÉQUILIBRE
N4166,"Education policy researchers, consultants and program officers & Recreation, sports and fitness policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement; Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique.",Balance,À L'ÉQUILIBRE
N4168,"Program officers unique to government & Other professional occupations in social science, n.e.c.","Agents/agentes de programmes propres au gouvernement; Autres professionnels/professionnelles des sciences sociales, n.c.a..",Surplus,SURPLUS
N4211,Paralegal and related occupations,Techniciens/techniciennes juridiques et personnel assimilé.,Balance,À L'ÉQUILIBRE
N4212,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires.,Balance,À L'ÉQUILIBRE
N4214,Early childhood educators and assistants,Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance.,Balance,À L'ÉQUILIBRE
N4215,Instructors of persons with disabilities,Instructeurs/instructrices pour personnes ayant une déficience.,Balance,À L'ÉQUILIBRE
N4216,Other instructors & Other religious occupations,Autres instructeurs/instructrices; Autre personnel relié à la religion.,Balance,À L'ÉQUILIBRE
N4311,Police officers (except commissioned),Policiers/policières (sauf cadres supérieurs).,Balance,À L'ÉQUILIBRE
N4312,Firefighters & Non-commissioned ranks of the Canadian Forces,Pompiers/pompières; Sous-officiers/sous-officières des Forces canadiennes.,Balance,À L'ÉQUILIBRE
N4411,Home child care providers,Gardiens/gardiennes d'enfants en milieu familial.,Balance,À L'ÉQUILIBRE
N4412,"Home support workers, housekeepers and related occupations","Aides familiaux résidents/aides familiales résidentes, aides de maintien à domicile et personnel assimilé.",Balance,À L'ÉQUILIBRE
N4413,Elementary and secondary school teacher assistants,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire.,Balance,À L'ÉQUILIBRE
N4420,Legal and public protection support occupations,Personnel juridique et de soutien des services de protection public,Balance,À L'ÉQUILIBRE
N5110,"Librarians, archivists, conservators and curators","Professionnels/professionnelles des bibliothèques, des archives, des musées et des galeries d'art",Balance,À L'ÉQUILIBRE
N5121,Authors and writers; Editors & Journalists,"Auteurs/auteures, rédacteurs/rédactrices et écrivains/écrivaines; Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles; Journalistes.",Surplus,SURPLUS
N5125,"Translators, terminologists and interpreters","Traducteurs/traductrices, terminologues et interprètes.",Balance,À L'ÉQUILIBRE
N5131,"Producers, directors, choreographers and related occupations & Conductors, composers and arrangers","Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé; Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses.",Balance,À L'ÉQUILIBRE
N5133,"Musicians and singers; Dancers; Actors and comedians & Painters, sculptors and other visual artists","Musiciens/musiciennes et chanteurs/chanteuses; Danseurs/danseuses; Acteurs/actrices et comédiens/comédiennes; Peintres, sculpteurs/sculpteures et autres artistes des arts visuels.",Balance,À L'ÉQUILIBRE
N5210,"Technical occupations in libraries, public archives, museums and art galleries","Personnel technique des bibliothèques, des archives publiques, des musées et des galeries d'art",Balance,À L'ÉQUILIBRE
N5221,Photographers,Photographes.,Balance,À L'ÉQUILIBRE
N5222,"Film/video camera operators; Graphic arts technician; Broadcast technician; Audio/video recording technician; Other tech. / co-ord. occupations in motion picture, broadcasting, arts & Support occupations in motion picture, broadcasting, photography and the performing arts","Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo; Techniciens/techniciennes en graphisme; Techniciens/techniciennes en radiotélédiffusion; Techniciens/techniciennes en enregistrement audio et vidéo; Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène; Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène. ",Balance,À L'ÉQUILIBRE
N5230,"Announcers and other performers, n.e.c.","Annonceurs/annonceures et autres artistes de spectacle, n.c.a.",Surplus,SURPLUS
N5241,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices.,Shortage,PÉNURIE
N5242,Interior designers and interior decorators,Designers d'intérieur et décorateurs/décoratrices d'intérieur.,Shortage,PÉNURIE
N5243,"Theatre, fashion, exhibit and other creative designers & Artisans and craftspersons; Patternmakers - textile, leather and fur products","Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques; Artisans/artisanes; Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure.",Balance,À L'ÉQUILIBRE
N5250,"Athletes, coaches, referees and related occupations","Athlètes, entraîneurs/entraîneuses, arbitres et personnel assimilé des sports et des loisirs",Surplus,SURPLUS
N6211,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail.,Balance,À L'ÉQUILIBRE
N6221,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros.,Balance,À L'ÉQUILIBRE
N6222,Retail and wholesale buyers,Acheteurs/acheteuses des commerces de détail et de gros.,Balance,À L'ÉQUILIBRE
N6231,Insurance agents and brokers,Agents/agentes et courtiers/courtières d'assurance.,Balance,À L'ÉQUILIBRE
N6232,Real estate agents and salespersons,Agents/agentes et vendeurs/vendeuses en immobilier.,Balance,À L'ÉQUILIBRE
N6235,Financial sales representatives,Représentants/représentantes des ventes financières.,Balance,À L'ÉQUILIBRE
N6311,Food service supervisors,Superviseurs/superviseures des services alimentaires.,Balance,À L'ÉQUILIBRE
N6312,"Executive housekeepers & Accommodation, travel, tourism and related services supervisors; Customer and information services supervisors; Cleaning supervisors; Other services supervisors","Gouvernants principaux/gouvernantes principales; Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes; Superviseurs/superviseures des services d'information et des services à la clientèle; Surveillants/surveillantes des services de nettoyage; Surveillants/surveillantes des autres services. ; ",Balance,À L'ÉQUILIBRE
N6321,Chefs,Chefs.,Balance,À L'ÉQUILIBRE
N6322,Cooks,Cuisiniers/cuisinières.,Surplus,SURPLUS
N6331,"Butchers, meat cutters and fishmongers - retail and wholesale","Bouchers/bouchères, coupeurs/coupeuses de viande et poissonniers/poissonnières - commerce de gros et de détail.",Balance,À L'ÉQUILIBRE
N6332,Bakers,Boulangers-pâtissiers/boulangères-pâtissières.,Balance,À L'ÉQUILIBRE
N6341,Hairstylists and barbers,Coiffeurs/coiffeuses et barbiers/barbières.,Balance,À L'ÉQUILIBRE
N6342,"Tailors, dressmakers, furriers and milliners & Shoe repairers and shoemakers; Jewellers, jewellery and watch repairers and related occupations; Upholsterers; Funeral directors and embalmers","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes; Cordonniers/cordonnières et fabricants/fabricantes de chaussures; Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé; Tapissiers-garnisseurs/tapissières-garnisseuses; Directeurs/directrices de funérailles et embaumeurs/embaumeuses. ; ",Balance,À L'ÉQUILIBRE
N6411,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique).,Balance,À L'ÉQUILIBRE
N6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail.,Balance,À L'ÉQUILIBRE
